Business_as_usual_2050	moderate_2050	extensive_2050	Business_as_usual_2099	moderate_2099	extensive_2099
0.37242295	-0.072381549	0.378191049	-0.323772316	-0.278512152	-0.227768235
0.415374248	0.243787026	0.163427206	-0.029895514	0.388440146	-0.067582317
-0.290499053	-0.347899201	0.195665289	1.011987962	0.687946961	0.481086919
0.319864034	-0.267010851	0.324733173	-0.360389695	0.512567802	0.335251042
0.588164441	-0.076667293	0.254713414	1.379234701	0.194004521	0.155913043
0.066961619	-0.204427439	0.267788429	-0.063442771	0.642260233	-0.151676389
0.179543024	-0.272887207	0.118194796	1.357112954	0.545689682	-0.414288465
0.401941494	-0.321327365	0.250600073	-0.255039866	0.813778424	0.314779963
0.378505984	-0.345267093	0.070679869	0.338281816	0.184885009	-0.454444359
0.112734258	0.476682045	0.316374926	0.043130651	-0.360464849	-0.29695573
0.268138799	-0.035065852	0.43802757	0.162131148	-0.425672786	-0.33463816
0.423547777	0.471050167	0.390903444	0.020970213	0.415042251	-0.341318283
0.003870425	0.325803418	0.197327934	1.059193211	-0.178942871	-0.338424126
-0.548781397	-0.40117812	0.415023153	0.640626537	0.593050922	0.575814066
-0.359873742	-0.088148816	0.263644002	0.663999133	0.789568802	0.002910948
0.158516443	0.028993211	0.427255822	-0.342918896	-0.382482719	0.329217413
0.369519943	0.242461478	0.324001337	0.009485623	-0.317141378	0.078500477
0.219283549	0.358783928	0.042855837	1.393077248	-0.420932339	0.319645231
0.064367378	-0.434005145	0.369932665	0.693201625	0.488193453	0.607719961
0.365723322	0.019158409	0.360671452	-0.315820624	-0.342799842	0.542877455
0.79648003	0.232661514	0.040461486	-0.102530437	0.632611002	0.329878366
0.184569684	-0.047918313	0.409752735	1.369235569	-0.084460009	0.181971929
0.159222411	-0.395489047	0.487914967	0.92239012	0.451911498	0.22333968
-0.322820195	-0.165247668	0.006707455	1.259540481	-0.385432392	0.377154587
0.225792246	0.444492055	0.144601219	1.57125864	0.211539959	0.176309239
-0.320806344	0.480790968	0.028791824	0.875601448	-0.089066546	0.512416799
0.243612052	-0.018623912	0.157113433	-0.108487914	0.000695834	-0.297692292
-0.387063918	-0.398210656	0.464746992	-0.300188001	0.553448891	0.601295666
-0.390422541	-0.073767025	0.127751235	-0.263158177	-0.125008052	-0.181072292
-0.186199072	-0.401779771	0.46283764	0.176855527	0.589418707	0.104277002
-0.164614434	-0.335664064	0.337999281	-0.372518113	0.207171924	0.412846568
-0.308438896	0.461205041	0.412064367	1.602910723	0.626399538	-0.276236546
-0.599837074	0.409777464	0.027754422	0.690639995	-0.394581773	-0.428817364
0.832685523	-0.095445389	0.060510692	0.826315422	-0.493728998	-0.314952249
0.079316625	0.361160662	0.469856755	0.386691018	0.006456842	0.476797672
0.69044638	-0.346331285	0.282472842	0.623939661	0.739702686	-0.198114501
-0.352359506	0.247248204	0.347591915	0.315815645	0.0206978	-0.330732448
-0.315605949	0.041663452	0.435020304	0.534957094	-0.099830602	-0.279410921
-0.20708811	-0.344270735	-0.011944144	0.490500994	-0.298706697	-0.16692287
0.253953927	-0.055926467	0.026471924	1.597069335	0.685592272	0.486341119
-0.517484613	0.244100517	0.037132604	-0.103835073	-0.146526096	0.249332831
0.747938275	-0.256843715	0.43362841	0.451739125	-0.08068731	0.063519001
0.611579879	0.118031412	0.493049535	0.288446419	-0.221702093	0.308342985
